Date,Open,High,Low,Close
28-May-2025,35885.06,35950.41,35788.78,35804.71
29-May-2025,35934.08,35994.67,35770.92,35933.41
30-May-2025,35920.97,35998.26,35758.68,35815.16
2-June-2025,35758.42,35892.33,35594.86,35857.90
3-June-2025,35943.30,36016.75,35617.86,35647.66
4-June-2025,35698.82,35817.74,35587.43,35791.49
5-June-2025,35895.41,36125.03,35824.11,35984.22
6-June-2025,36028.19,36359.37,35905.26,36338.97
9-June-2025,36511.77,36602.46,36482.85,36596.56
10-June-2025,36717.82,36729.81,36536.51,36608.83
11-June-2025,36666.79,36741.38,36510.19,36606.02
12-June-2025,36658.91,36664.51,36108.16,36153.50
13-June-2025,35544.55,35980.99,35518.46,35946.69
16-June-2025,35883.27,36260.04,35766.33,36241.28
17-June-2025,36287.43,36292.16,36037.47,36071.37
18-June-2025,36007.79,36206.52,35899.17,35982.58
19-June-2025,35974.59,36062.96,35671.86,35733.43
20-June-2025,35743.13,36191.50,35732.53,36157.56
23-June-2025,35822.58,36177.48,35821.93,36088.23
24-June-2025,36377.95,36559.63,36201.04,36254.90
25-June-2025,36418.23,36554.08,36383.34,36545.02
26-June-2025,36629.05,36915.80,36592.89,36895.95
27-June-2025,36947.04,37083.97,36928.11,37060.93
30-June-2025,37124.77,37136.77,36959.73,37043.16
1-July-2025,37107.15,37138.85,36958.52,37042.95
2-July-2025,37084.81,37125.59,36813.63,36936.00
3-July-2025,36999.55,37096.34,36874.08,36890.97
4-July-2025,36933.42,36981.80,36797.96,36967.25
7-July-2025,36958.49,37015.88,36886.01,36948.20
8-July-2025,36948.56,37030.17,36841.99,36999.02
9-July-2025,36986.90,37054.70,36903.82,36963.79
10-July-2025,37017.63,37040.57,36800.15,36838.75
11-July-2025,36749.13,36818.25,36510.90,36545.58
14-July-2025,36567.87,36613.66,36427.38,36582.53
15-July-2025,36605.63,36826.47,36605.08,36799.23
16-July-2025,36799.21,36877.04,36728.40,36827.24
17-July-2025,36885.08,36892.33,36740.91,36752.95
18-July-2025,36773.34,36802.62,36484.56,36532.54
21-July-2025,36576.47,36712.21,36390.08,36688.20
22-July-2025,36785.26,36796.27,36576.17,36600.07
23-July-2025,36690.98,36778.71,36567.92,36765.36
24-July-2025,36785.80,36789.97,36501.32,36563.21
25-July-2025,36511.68,36511.68,36108.35,36129.89
28-July-2025,36071.48,36255.12,35832.06,35869.97
29-July-2025,35787.66,36152.63,35770.30,36126.52
30-July-2025,36208.43,36217.05,36055.91,36167.15
31-July-2025,35722.20,36222.26,35722.14,35981.74
1-August-2025,35944.30,35972.71,35562.04,35598.07
4-August-2025,35670.52,35909.31,35570.03,35889.79
5-August-2025,35901.41,35917.68,35698.05,35792.76
6-August-2025,35800.05,35823.77,35535.91,35587.67
7-August-2025,35444.87,35680.27,35211.40,35634.06
8-August-2025,35617.15,35617.15,35197.40,35228.64
11-August-2025,35251.09,35560.36,35178.29,35539.33
12-August-2025,35549.02,35689.00,35421.53,35437.06
13-August-2025,35561.07,35683.96,35521.29,35631.91
14-August-2025,35696.21,35717.50,35565.35,35604.49
18-August-2025,35951.26,36167.18,35951.09,36001.36
19-August-2025,36048.48,36233.79,35968.98,36211.33
20-August-2025,36229.50,36367.16,36145.98,36323.56
21-August-2025,36445.71,36462.04,36311.64,36328.71
22-August-2025,36342.18,36342.20,36080.57,36089.64
25-August-2025,36199.60,36273.21,36149.27,36194.34
26-August-2025,36106.13,36126.79,35723.32,35755.99
28-August-2025,35713.21,35729.07,35392.49,35409.72
29-August-2025,35407.62,35541.28,35262.10,35287.71
1-September-2025,35341.62,35690.22,35338.31,35679.52
2-September-2025,35752.58,35899.16,35627.19,35693.62
3-September-2025,35750.57,35929.03,35676.51,35905.15
4-September-2025,36305.25,36308.52,35804.01,35845.46
5-September-2025,35964.10,35984.13,35676.96,35842.34
8-September-2025,35921.79,36069.00,35856.47,35916.19
9-September-2025,36019.64,36054.96,35949.85,36032.50
10-September-2025,36180.87,36299.90,36163.56,36235.46
11-September-2025,36207.34,36318.77,36207.14,36287.91
12-September-2025,36385.27,36452.60,36334.77,36418.62
15-September-2025,36455.49,36500.50,36409.35,36452.98
16-September-2025,36499.23,36722.09,36469.17,36697.39
17-September-2025,36774.95,36849.39,36741.22,36813.13
18-September-2025,36937.96,36961.74,36798.00,36930.41
19-September-2025,36954.56,36958.48,36817.24,36878.84
22-September-2025,36703.85,36926.24,36637.34,36707.87
23-September-2025,36737.23,36787.57,36516.35,36631.90
24-September-2025,36580.00,36613.44,36381.56,36398.48
25-September-2025,36370.23,36489.02,36138.01,36156.07
26-September-2025,36074.81,36110.76,35644.19,35673.24
29-September-2025,35747.57,35904.79,35613.25,35717.08
30-September-2025,35801.37,35855.04,35615.58,35714.10
